SubcID,IsRoad,Area,Width,Mode,DisPointID,Partition
604,0,5.1,2.3,0,465,12
605,0,6.4,2.5,0,280,14
606,0,19.1,4.4,0,116,20
607,0,11.1,3.3,0,498,20
608,0,1.4,1.2,0,452,7
609,0,1.1,1.1,0,260,7
610,0,1.3,1.1,0,260,7
611,0,1.4,1.2,0,265,7
612,0,1.6,1.2,0,264,7
613,0,1.3,1.1,0,327,7
614,0,1.9,1.4,0,309,22
615,0,6.9,2.6,0,498,20
616,0,3.3,1.8,0,220,18
617,0,2.4,1.5,0,220,18
618,0,2.5,1.6,0,244,7
619,0,2.0,1.4,0,244,7
620,0,2.1,1.5,0,242,7
621,0,1.8,1.4,0,238,7
622,0,2.6,1.6,0,238,7
623,0,1.7,1.3,0,309,22
624,0,2.3,1.5,0,255,7
625,0,1.1,1.0,0,357,14
626,0,0.8,0.9,0,360,14
627,0,1.2,1.1,0,342,14
628,0,1.2,1.1,0,360,14
629,0,1.5,1.2,0,361,14
630,0,2.3,1.5,0,325,12
631,0,2.0,1.4,0,325,12
632,0,2.2,1.5,0,338,12
633,0,1.3,1.1,0,362,3
634,0,1.1,1.0,0,297,3
635,0,2.0,1.4,0,338,12
636,0,2.3,1.5,0,334,12
637,0,2.0,1.4,0,334,12
638,0,2.7,1.6,0,464,12
639,0,4.3,2.1,0,464,12
640,0,6.8,2.6,0,20,20
641,0,3.4,1.8,0,297,3
642,0,3.7,1.9,0,469,5
643,0,5.5,2.3,0,159,16
644,0,1.5,1.2,0,159,16
645,0,1.5,1.2,0,162,16
646,0,0.7,0.9,0,170,16
647,0,0.7,0.9,0,170,16
648,0,1.9,1.4,0,170,16
649,0,1.8,1.3,0,57,16
650,0,1.6,1.3,0,57,16
651,0,9.8,3.1,0,469,5
652,0,32.5,5.7,0,485,5
653,0,1.9,1.4,0,134,16
654,0,7.5,2.7,0,42,16
655,0,3.0,1.7,0,277,14
656,0,5.9,2.4,0,255,7
657,0,1.4,1.2,0,256,7
658,0,2.8,1.7,0,326,7
659,0,1.2,1.1,0,256,7
660,0,0.9,1.0,0,261,7
661,0,1.1,1.0,0,261,7
662,0,1.2,1.1,0,261,7
663,0,1.2,1.1,0,265,7
664,0,1.3,1.1,0,265,7
665,0,1.2,1.1,0,328,7
666,0,1.3,1.1,0,328,7
667,0,1.4,1.2,0,309,22
668,0,5.7,2.4,0,448,22
669,0,7.7,2.8,0,465,12
670,0,2.9,1.7,0,343,12
671,0,5.9,2.4,0,280,14
672,0,1.1,1.0,0,341,14
673,0,0.9,0.9,0,342,14
674,0,1.2,1.1,0,342,14
675,0,1.1,1.1,0,342,14
676,0,1.4,1.2,0,361,14
677,0,3.1,1.8,0,344,14
678,0,3.2,1.8,0,346,14
679,0,10.6,3.3,0,72,7
680,0,2.1,1.5,0,215,18
681,0,2.2,1.5,0,232,18
682,0,1.8,1.3,0,232,18
683,0,4.1,2.0,0,242,7
684,0,1.9,1.4,0,231,18
685,0,3.9,2.0,0,345,14
686,0,1.2,1.1,0,481,3
687,0,1.0,1.0,0,484,3
688,0,1.7,1.3,0,230,7
689,0,7.9,2.8,0,424,7
690,0,7.0,2.7,0,324,22
691,0,1.6,1.3,0,324,22
692,0,1.8,1.3,0,337,22
693,0,1.7,1.3,0,337,22
694,0,1.9,1.4,0,333,22
695,0,1.6,1.3,0,333,22
696,0,2.2,1.5,0,316,12
697,0,9.4,3.1,0,316,12
698,0,0.6,0.8,0,262,7
699,0,0.6,0.8,0,266,7
700,0,1.3,1.2,0,265,7
701,0,0.4,0.7,0,310,22
702,0,1.6,1.3,0,310,22
703,0,1.7,1.3,0,31,16
704,0,3.0,1.7,0,160,16
705,0,1.4,1.2,0,160,16
706,0,1.3,1.1,0,165,16
707,0,3.5,1.9,0,170,16
708,0,3.4,1.8,0,135,4
709,0,3.2,1.8,0,135,4
710,0,3.7,1.9,0,256,7
711,0,4.7,2.2,0,262,7
712,0,5.8,2.4,0,343,12
713,0,2.2,1.5,0,349,14
714,0,3.4,1.9,0,278,14
715,0,3.9,2.0,0,342,14
716,0,0.9,0.9,0,344,14
717,0,2.5,1.6,0,344,14
718,0,1.5,1.2,0,352,14
719,0,2.4,1.6,0,351,14
720,0,2.4,1.5,0,484,3
721,0,1.8,1.3,0,215,18
722,0,1.9,1.4,0,232,18
723,0,1.7,1.3,0,231,18
724,0,1.4,1.2,0,230,7
725,0,0.6,0.8,0,329,7
726,0,1.1,1.0,0,215,18
727,0,3.3,1.8,0,231,18
728,0,1.4,1.2,0,324,22
729,0,1.6,1.3,0,337,22
730,0,1.5,1.2,0,337,22
731,0,1.7,1.3,0,333,22
732,0,1.6,1.3,0,160,16
733,0,1.6,1.3,0,165,16
734,0,2.0,1.4,0,171,16
735,0,1.9,1.4,0,58,4
736,0,4.2,2.0,0,58,4
737,0,1.8,1.3,0,333,22
