NodeID,X,Y,NodeType,SystemType,SurfaceElev,InvertElev,StrahlerNumber
455,406831.55,4318703.03,Manhole,0,11.70,7.65,1
454,405966.13,4318698.04,Manhole,0,11.70,10.80,1
338,406827.73,4317951.54,Manhole,0,11.70,9.14,1
441,405950.89,4315035.65,Manhole,0,8.00,6.90,1
439,405223.61,4316677.62,Manhole,0,8.70,7.80,1
333,407258.28,4317510.10,Manhole,0,10.10,9.20,1
169,397721.97,4318377.69,Manhole,0,8.70,7.18,1
157,412494.04,4316651.81,Manhole,0,8.30,4.31,2
200,410514.08,4321379.36,Manhole,0,10.10,9.05,1
331,407262.51,4318705.51,Manhole,0,11.80,8.34,1
334,407259.84,4317951.51,Manhole,0,11.80,10.90,1
56,398200.72,4318375.44,Manhole,0,9.30,8.30,1
287,412496.11,4317044.61,Manhole,0,8.30,5.91,1
483,412217.79,4316652.79,Manhole,0,8.30,5.99,1
205,411170.10,4321378.25,Manhole,0,10.10,4.11,1
192,407261.19,4318332.84,Manhole,0,11.80,8.90,1
268,412883.87,4317043.82,Manhole,0,8.30,7.40,1
496,411848.00,4316654.10,Manhole,0,8.00,7.10,1
209,411168.36,4320608.21,Manhole,0,11.80,5.80,1
188,407741.76,4318330.58,Manhole,0,11.80,9.92,1
474,411568.52,4320605.92,Manhole,0,8.00,7.10,1
464,407739.07,4317951.48,Manhole,0,11.80,10.80,1
